Boek;Hfd;Passage;Titel;Toelichting;Vraag
41;2;Marcus 2:1-12;;‘Zoiets hebben we nog nooit meegemaakt.’ De mensen waren diep onder de indruk. Ze kijken naar Jezus met andere, nieuwe ogen. Anders dan de vier vrienden zijn zij (nog) niet vol geloof naar Jezus toe gekomen. De genezing lijkt op het eerste zicht wel specialer en spectaculairder dan de vergeving van de zonden. Als Jezus zonder boodschap van vergeving was rondgetrokken en wonderen had verricht, dan had Hem dat ongetwijfeld veel volgelingen opgeleverd. Het geloof in Jezus voegt echter een extra dimensie toe aan de genezing van ziekten: Jezus laat aan de verlamde en zijn vrienden zien en horen dat zijn komst naar deze wereld alles te maken heeft met vergeving en een nieuw begin. En dat vraagt om een schone lei. ‘Nog nooit meegemaakt’ of ‘Nog nooit gezien’ heeft in dit verhaal nog een tweede betekenis: de mensen hebben dankzij Jezus’ optreden nu ook oog voor de lamme die voorheen ongezien was en aan de rand van de maatschappij stond. Misschien werd hij wel opgemerkt, maar niemand leek zich echt om hem te bekommeren, behalve zijn vier dragers. In die zin is het verhaal ook een oproep om echt rondom ons te kijken en oog te hebben voor wie niet gezien wordt. Ieder mens wil ergens bij horen en deel uitmaken van een geheel. Ieder mens wil bij naam genoemd worden. Als we te veel met onszelf of met regels en wetten bezig zijn, verliezen we de ander uit het oog. ;De weken voor Pasen kunnen ook een periode zijn om na te denken over dingen in ons leven die om een nieuw begin vragen. Hoe is dat voor jou?
41;2;Marcus 2:13-22;Eetgewoonten ;Het is een waar feestmaal! Jezus eet bij de tollenaar Levi thuis. Levi wordt door veel mensen met de nek aangekeken, net als al die anderen die bij hem eten. Maar voor Jezus en zijn tafelgenoten is het echt feest, want Levi begint een heel nieuw leven. En zolang Jezus bij deze mensen is, is er geen tijd om te vasten. Dat is tijd om dankbaar te zijn en feest te vieren, want met Jezus begint iets heel nieuws. Net zoals je een oude jas niet meer oplapt, of nieuwe wijn nog in een oude zak doet: het is tijd voor verandering, niet een beetje, maar helemaal nieuw!;Waarmee zou jij helemaal (op)nieuw willen beginnen?
41;2;Marcus 2:13-22;Eetgewoonten;Het is een waar feestmaal! Jezus eet bij de tollenaar Levi thuis. Levi wordt door veel mensen met de nek aangekeken, net als al die anderen die bij hem eten. Maar voor Jezus en zijn tafelgenoten is het echt feest, want Levi begint een heel nieuw leven. En zolang Jezus bij deze mensen is, is er geen tijd om te vasten. Dat is tijd om dankbaar te zijn en feest te vieren, want met Jezus begint iets heel nieuws. Net zoals je een oude jas niet meer oplapt, of nieuwe wijn nog in een oude zak doet: het is tijd voor verandering, niet een beetje, maar helemaal nieuw!;Waarmee zou jij helemaal (op)nieuw willen beginnen?
41;2;Marcus 2:23-3:6;Heer van de sabbat;Wat mag wel en wat mag niet op zondag? Jezus legt uit wat het principe achter de sabbatswet is: God heeft de sabbat gegeven voor de mens, om – net als Hij deed na de schepping – te rusten en te genieten. Maar niet alleen dat, het is voor Jezus ook de dag waarop je goed mag doen. Daarmee wil Jezus laten zien dat de sabbat geen dag is waarop van alles moet en niets mag, maar dat het een geschenk van God is. Hoe mooi is het dan als je op die dag genezing als geschenk van God mag ontvangen.;De zondag als een geschenk: hoe ziet die dag er voor jou uit?
41;2;Marcus 2:23–3:6;Heer van de sabbat ;Wat mag wel en wat mag niet op zondag? Jezus legt uit wat het principe achter de sabbatswet is: God heeft de sabbat gegeven voor de mens, om – net als Hij deed na de schepping – te rusten en te genieten. Maar niet alleen dat, het is voor Jezus ook de dag waarop je goed mag doen. Daarmee wil Jezus laten zien dat de sabbat geen dag is waarop van alles moet en niets mag, maar dat het een geschenk van God is. Hoe mooi is het dan als je op die dag genezing als geschenk van God mag ontvangen.;De zondag als een geschenk: hoe ziet die dag er voor jou uit?
41;3;Marcus 3:20-35;Familiegeschiedenis ;De familieleden van Jezus dachten dat Hij gek geworden was. Nu komen ze Hem ophalen. Jezus maakt meteen duidelijk wat voor Hem belangrijk is: doen wat God wil. Hij noemt de mensen die de wil van God doen zijn echte familie. Dat is bijzonder: Jezus zegt dat zijn eigen moeder en broers zijn familie niet meer zijn. Dat zegt Hij uit liefde, want als ze Hem volgen, zullen ze pas écht familie zijn.;Wat vind je ervan dat Jezus zijn familie buiten laat staan? Is er iets of iemand waar je meer om geeft dan om je familie?
41;3;Marcus 3:20-35;Familiegeschiedenis;De familieleden van Jezus dachten dat Hij gek geworden was. Nu komen ze Hem ophalen. Jezus maakt meteen duidelijk wat voor Hem belangrijk is: doen wat God wil. Hij noemt de mensen die de wil van God doen zijn echte familie. Dat is bijzonder: Jezus zegt dat zijn eigen moeder en broers zijn familie niet meer zijn. Dat zegt Hij uit liefde, want als ze Hem volgen, zullen ze pas écht familie zijn.;Wat vind je ervan dat Jezus zijn familie buiten laat staan? Is er iets of iemand waar je meer om geeft dan om je familie?
41;3;Marcus 3:7-19;Goed nieuws verspreiden ;Steeds meer mensen horen over Jezus en willen Hem horen en zien, zelfs aanraken. Hij vertelt over het goede nieuws en laat het mensen zelfs aan den lijve ervaren. Maar de mensenmassa wordt te groot, er dreigen mensen onder de voet gelopen te worden. Dan roept Jezus twaalf mensen bij zich, zij gaan samen met Hem het goede nieuws vertellen en mensen bevrijden van kwade geesten. Jezus noemt hen apostelen, dat betekent letterlijk: gezondenen. Behalve dat ze leerlingen (discipelen) zijn, krijgen deze mannen dus ook een opdracht: het goede nieuws verspreiden in woord en daad (zie ook in Marcus 6:7-13 en 6:30).;Hoe verspreid jij het goede nieuws?
41;3;Marcus 3:7-19;Goed nieuws verspreiden;Steeds meer mensen horen over Jezus en willen Hem horen en zien, zelfs aanraken. Hij vertelt over het goede nieuws en laat het mensen zelfs aan den lijve ervaren. Maar de mensenmassa wordt te groot, er dreigen mensen onder de voet gelopen te worden. Dan roept Jezus twaalf mensen bij zich, zij gaan samen met Hem het goede nieuws vertellen en mensen bevrijden van kwade geesten. Jezus noemt hen apostelen, dat betekent letterlijk: gezondenen. Behalve dat ze leerlingen (discipelen) zijn, krijgen deze mannen dus ook een opdracht: het goede nieuws verspreiden in woord en daad (zie ook in Marcus 6:7-13 en 6:30).;Hoe verspreid jij het goede nieuws?
41;4;Marcus 4:1-12;Zaaien ;Jezus is een rabbi, een Joodse geleerde die alles weet over de Joodse wet. Een leraar die mensen onderwijst over de wil en wetten van God. Een rabbi had leerlingen, die hij zelf had uitgekozen en met wie hij dag in dag uit intensief optrok. Daarnaast had een rabbi vaak ook een hele groep volgelingen (volgers) die naar zijn onderwijs kwamen luisteren. In de tekst van vandaag lezen we dat er zoveel mensen zijn dat Jezus hen vanuit een boot toespreekt.;Zou jij jezelf een volger of een leerling van Jezus noemen? Wat hoop je van Jezus’ onderwijs te leren?
41;4;Marcus 4:1-12;Zaaien;Jezus is een rabbi, een Joodse geleerde die alles weet over de Joodse wet. Een leraar die mensen onderwijst over de wil en wetten van God. Een rabbi had leerlingen, die hij zelf had uitgekozen en met wie hij dag in dag uit intensief optrok. Daarnaast had een rabbi vaak ook een hele groep volgelingen (volgers) die naar zijn onderwijs kwamen luisteren. In de tekst van vandaag lezen we dat er zoveel mensen zijn dat Jezus hen vanuit een boot toespreekt.;Zou jij jezelf een volger of een leerling van Jezus noemen? Wat hoop je van Jezus’ onderwijs te leren?
41;4;Marcus 4:13-20;Uitleg ;Jezus vertelt een voorbeeld, maar zelfs zijn leerlingen begrijpen niet wat Hij ermee bedoelt. Waarom vertelt Hij dingen die zo moeilijk te begrijpen zijn? Om dat uit te leggen gebruikt Jezus een tekst uit Jesaja, over het volk dat niet zal luisteren naar de boodschap van God, die Jesaja hun vertelt. Jezus maakt op deze manier duidelijk dat het heel belangrijk is om niet alleen naar Hem te luisteren, maar ook te doen wat Hij zegt.;Ken jij mensen die Jezus’ lessen in praktijk brengen? Wat is hun geheim, denk je?
41;4;Marcus 4:13-23;Uitleg;Jezus vertelt een voorbeeld, maar zelfs zijn leerlingen begrijpen niet wat Hij ermee bedoelt. Waarom vertelt Hij dingen die zo moeilijk te begrijpen zijn? Om dat uit te leggen gebruikt Jezus een tekst uit Jesaja, over het volk dat niet zal luisteren naar de boodschap van God, die Jesaja hun vertelt. Jezus maakt op deze manier duidelijk dat het heel belangrijk is om niet alleen naar Hem te luisteren, maar ook te doen wat Hij zegt.;Ken jij mensen die Jezus’ lessen in praktijk brengen? Wat is hun geheim, denk je?
41;4;Marcus 4:21-34;Bekendmaking ;Nog steeds legt Jezus zijn belangrijkste lessen uit als zijn grote publiek weg is en alleen zijn leerlingen overblijven. Maar zelfs zij vragen zich – en elkaar – af: ‘Wie is deze man?’ Jezus’ boodschap én zijn macht en wonderen blijven voor onbegrip zorgen. Maar Jezus spreekt ook over een tijd waarin alles duidelijker zal worden: alles moet zichtbaar en bekend worden. Die tijd komt als je Jezus volgt en doet wat Hij zegt. Dat dat niet altijd makkelijk is, zie je aan de leerlingen. Maar wie – net als zij – Jezus blijft volgen, zal uiteindelijk thuiskomen in Gods nieuwe wereld.;Wat vind jij moeilijk te begrijpen aan Jezus?
41;4;Marcus 4:24-34;Bekendmaking;Nog steeds legt Jezus zijn belangrijkste lessen uit als zijn grote publiek weg is en alleen zijn leerlingen overblijven. Maar zelfs zij vragen zich – en elkaar – af: ‘Wie is deze man?’ Jezus’ boodschap én zijn macht en wonderen blijven voor onbegrip zorgen. Maar Jezus spreekt ook over een tijd waarin alles duidelijker zal worden: alles moet zichtbaar en bekend worden. Die tijd komt als je Jezus volgt en doet wat Hij zegt. Dat dat niet altijd makkelijk is, zie je aan de leerlingen. Maar wie – net als zij – Jezus blijft volgen, zal uiteindelijk thuiskomen in Gods nieuwe wereld.;Wat vind jij moeilijk te begrijpen aan Jezus?
41;4;Marcus 4:35-41;Stilte na de storm ;Het is een bekend verhaal: de storm op het meer. De leerlingen zijn doodsbang en Jezus ligt lekker te slapen. Ze maken Hem wakker: ‘Doe toch iets!’ Dan spreekt Jezus woorden van macht en plotseling wordt het helemaal stil. Pas als de rust is weergekeerd, vraagt Jezus de leerlingen: ‘Waarom waren jullie zo bang?’ Niet als een verwijt, maar als een bemoediging: je hoeft niet bang te zijn, want Ik ben bij je. Jezus zegt niet dat er geen stormen zijn, maar Hij laat wel zien dat Hij sterker is dan welke storm dan ook.;In welke storm(en) in je leven heb je Jezus’ aanwezigheid ervaren of zou je die willen ervaren?
41;4;Marcus 4:35-41;Stilte na de storm;Het is een bekend verhaal: de storm op het meer. De leerlingen zijn doodsbang en Jezus ligt lekker te slapen. Ze maken Hem wakker: ‘Doe toch iets!’ Dan spreekt Jezus woorden van macht en plotseling wordt het helemaal stil. Pas als de rust is weergekeerd, vraagt Jezus de leerlingen: ‘Waarom waren jullie zo bang?’ Niet als een verwijt, maar als een bemoediging: je hoeft niet bang te zijn, want Ik ben bij je. Jezus zegt niet dat er geen stormen zijn, maar Hij laat wel zien dat Hij sterker is dan welke storm dan ook.;In welke storm(en) in je leven heb je Jezus’ aanwezigheid ervaren of zou je die willen ervaren?
41;5;Marcus 5:1-20;Geestkracht ;De kwade geest die door Jezus weggejaagd wordt, noemt Hem ‘Zoon van de allerhoogste God’. Dat is een belangrijk thema in het Marcus-evangelie: de mensen die niet dicht bij Jezus staan, begrijpen soms beter wie Hij is dan de mensen die wel dicht bij Hem staan. Vaak vraagt Jezus aan iemand die genezen is om daar niet over te praten. Maar hier vraagt Jezus aan deze man, een niet-Jood, juist wél te vertellen wat Hij voor hem gedaan heeft. Zo laat Marcus al een beetje zien dat het goede nieuws doorverteld moet worden aan de niet-Joden.;Als jij zonder woorden aan iemand zou moeten uitleggen wat het goede nieuws inhoudt, hoe zou je dat dan doen?
41;5;Marcus 5:1-20;Geestkracht;De kwade geest die door Jezus weggejaagd wordt, noemt Hem ‘Zoon van de allerhoogste God’. Dat is een belangrijk thema in het Marcus-evangelie: de mensen die niet dicht bij Jezus staan, begrijpen soms beter wie Hij is dan de mensen die wel dicht bij Hem staan. Vaak vraagt Jezus aan iemand die genezen is om daar niet over te praten. Maar hier vraagt Jezus aan deze man, een niet-Jood, juist wél te vertellen wat Hij voor hem gedaan heeft. Zo laat Marcus al een beetje zien dat het goede nieuws doorverteld moet worden aan de niet-Joden.;Als jij zonder woorden aan iemand zou moeten uitleggen wat het goede nieuws inhoudt, hoe zou je dat dan doen?
41;5;Marcus 5:21-43;Aangeraakt ;Marcus vertelt hier over twee genezingen. Eerst over de genezing van de dochter van Jaïrus. En midden in dat verhaal vertelt hij over de genezing van een vrouw. Marcus doet dat niet zomaar. Door deze twee wonderen in één verhaal te vertellen wil hij iets duidelijk maken: geloof redt mensen. Wie blijft geloven wordt steeds weer beloond in het evangelie volgens Marcus.;Ervaar jij weleens dat God naar jou luistert? Op welke manier?
41;5;Marcus 5:21-43;Aangeraakt;Marcus vertelt hier over twee genezingen. Eerst over de genezing van de dochter van Jaïrus. En midden in dat verhaal vertelt hij over de genezing van een vrouw. Marcus doet dat niet zomaar. Door deze twee wonderen in één verhaal te vertellen wil hij iets duidelijk maken: geloof redt mensen. Wie blijft geloven wordt steeds weer beloond in het evangelie volgens Marcus.;Ervaar jij weleens dat God naar jou luistert? Op welke manier?
41;6;Marcus 6:1-13;Aanstoot ;De komende dagen lezen we verder in Marcus. Jezus’ wijsheid en zijn wonderen zorgen ervoor dat veel mensen naar Hem toe komen. Maar ze zorgen ook voor verwarring en ongemak. Jezus vertelt zijn twaalf leerlingen hoe ze met mensen die niet willen luisteren moeten omgaan. Hij zegt: doe geen moeite voor mensen die niet naar je willen luisteren. Vertrouw op God, en besteedt je tijd alleen aan mensen die wel willen luisteren naar Jezus’ boodschap.;Wat vind je van dat advies? Hebben de mensen die niet willen luisteren zijn boodschap niet juist het meest nodig?
41;6;Marcus 6:14-29;Uit de hand gelopen verjaardagsfeest ;Johannes de Doper heeft flinke kritiek op Herodes: hij had niet mogen trouwen met Herodias, de vrouw van zijn broer. Die kritiek begrijpen we nu nog steeds. Herodias krijgt een grote hekel aan Johannes. Ook dat kun je begrijpen. Want wie wil er nu dat iemand de hele tijd zegt wat je fout doet? Maar Herodes zelf reageert anders op de kritiek van Johannes. Hij luistert met respect naar wat Johannes zegt. Want hij weet dat Johannes vertelt over de wil van God. Herodes vindt het wel lastig: hij doet een grote zonde, en luistert naar iemand die zegt dat hij verkeerd leeft.;Hoe reageer jij als iemand jou op je fouten wijst?
41;6;Marcus 6:14-29;Uit de hand gelopen verjaardagsfeest;Johannes de Doper heeft flinke kritiek op Herodes: hij had niet mogen trouwen met Herodias, de vrouw van zijn broer. Die kritiek begrijpen we nu nog steeds. Herodias krijgt een grote hekel aan Johannes. Ook dat kun je begrijpen. Want wie wil er nu dat iemand de hele tijd zegt wat je fout doet? Maar Herodes zelf reageert anders op de kritiek van Johannes. Hij luistert met respect naar wat Johannes zegt. Want hij weet dat Johannes vertelt over de wil van God. Herodes vindt het wel lastig: hij doet een grote zonde, en luistert naar iemand die zegt dat hij verkeerd leeft.;Hoe reageer jij als iemand jou op je fouten wijst?
41;6;Marcus 6:1-6;;"Jezus gaat naar Nazaret, de stad waar Hij is opgegroeid. In de synagoge geeft Hij uitleg over God. De inwoners weten ook van de wonderen die Hij doet. Wat Jezus zegt en doet, roept verbazing bij hen op. Want Jezus is toch één van hen? Hij is toch gewoon die timmerman uit hun stad? De mensen erkennen wel wat Jezus zegt en doet, maar dat leidt er niet toe dat zij herkennen wie Hij is. Hun ongeloof leidt ertoe dat Jezus in Nazaret nauwelijks wonderen kan doen. Het geloof van de mensen is belangrijk voor Jezus om te laten zien wie Hij werkelijk is. Ons herkennen en vermoeden van wie Hij is, ons geloof, is de bedding waarin Hij zich kan laten zien als de messias, als Zoon van God.
In het verhaal klinkt al mee hoe het met Jezus verder zal gaan. Wat Hij zegt en doet – wie Hij is – zal op onbegrip en weerstand stuiten, wat uiteindelijk zal leiden tot zijn sterven aan het kruis.";Wat voor houding is volgens jou nodig om Jezus te zien voor wie Hij is?
41;6;Marcus 6:1-6a;Aanstoot;De komende dagen lezen we verder in Marcus. Jezus’ wijsheid en zijn wonderen zorgen ervoor dat veel mensen naar Hem toe komen. Maar ze zorgen ook voor verwarring en ongemak. Jezus vertelt zijn twaalf leerlingen hoe ze met mensen die niet willen luisteren moeten omgaan. Hij zegt: doe geen moeite voor mensen die niet naar je willen luisteren. Vertrouw op God, en besteedt je tijd alleen aan mensen die wel willen luisteren naar Jezus’ boodschap.;Wat vind je van dat advies? Hebben de mensen die niet willen luisteren zijn boodschap niet juist het meest nodig?
41;6;Marcus 6:30-44;Massabijeenkomst ;Eerder in Marcus lazen we al dat Jezus bijna geen rust heeft. Maar nog steeds reageert Jezus niet boos. Jezus krijgt juist medelijden. Hij ziet wat de mensen nodig hebben: iemand die als een herder voor hen zorgt. Jezus doet dat op twee manieren: Hij geeft hun uitleg over God, en Hij zorgt er met een wonder voor dat er genoeg te eten is voor iedereen. Dat doet denken aan de verhalen waarin Mozes aan het volk uitleg geeft, eten van God geeft, en hoopt dat het volk nooit zonder herder zal zijn.;Jezus blijven volgen en Hem niet met rust laten – durf jij dat ook?
41;6;Marcus 6:30-44;Massabijeenkomst;Eerder in Marcus lazen we al dat Jezus bijna geen rust heeft. Maar nog steeds reageert Jezus niet boos. Jezus krijgt juist medelijden. Hij ziet wat de mensen nodig hebben: iemand die als een herder voor hen zorgt. Jezus doet dat op twee manieren: Hij geeft hun uitleg over God, en Hij zorgt er met een wonder voor dat er genoeg te eten is voor iedereen. Dat doet denken aan de verhalen waarin Mozes aan het volk uitleg geeft, eten van God geeft, en hoopt dat het volk nooit zonder herder zal zijn.;Jezus blijven volgen en Hem niet met rust laten – durf jij dat ook?
41;6;Marcus 6:45-52;Oversteek;Weer zitten de leerlingen in een boot en hebben ze last van de harde wind. Deze keer loopt Jezus over het water naar hen toe en wil Hij hen voorbijlopen. Niet om bij hen weg te gaan, maar om zichzelf en zijn macht te laten zien. In die tijd dachten de mensen namelijk dat het water van een meer of een zee een plaats van kwade machten was. Jezus laat zien dat Hij daar ook macht over heeft. De leerlingen hoeven zich geen zorgen te maken. Maar het omgekeerde gebeurt: de leerlingen worden juist doodsbang! Ze denken dat Jezus een geest is.;Welke situaties maken jou zo bang dat je even alles vergeet?
41;6;Marcus 6:45-56;Oversteek ;Weer zitten de leerlingen in een boot en hebben ze last van de harde wind. Deze keer loopt Jezus over het water naar hen toe en wil Hij hen voorbijlopen. Niet om bij hen weg te gaan, maar om zichzelf en zijn macht te laten zien. In die tijd dachten de mensen namelijk dat het water van een meer of een zee een plaats van kwade machten was. Jezus laat zien dat Hij daar ook macht over heeft. De leerlingen hoeven zich geen zorgen te maken. Maar het omgekeerde gebeurt: de leerlingen worden juist doodsbang! Ze denken dat Jezus een geest is.;Welke situaties maken jou zo bang dat je even alles vergeet?
41;6;Marcus 6:6b-13;;Een onderdeel van Jezus' leerschool is dat Hij de leerlingen erop uit stuurt. Ze moeten in vertrouwen op God en in anderen op weg gaan, zonder fysieke spullen mee te nemen. De leerlingen krijgen wel iets anders mee: een metgezel (een andere leerling), wijze raad en de macht over onreine geesten. Op bijzondere wijze leren de leerlingen zo dat ondanks afhankelijkheid, of misschien wel juist door die afhankelijkheid, wonderen plaats vinden.;Wie is voor jou een belangrijke metgezel? Zou je, als je zoals deze leerlingen zou worden uitgezonden, iets missen en zo ja wat?
41;7;Marcus 7:1-13;Wet en traditie ;In Jezus' tijd waren er veel regels over wat rein was en wat onrein. Het boek Leviticus staat er vol mee. De religieuze leiders maakten nog veel meer regels. De leerlingen van Jezus houden zich niet aan de regels, tot woede van de religieuze leiders. Jezus legt uit dat een regel nooit belangrijker mag worden dan God zelf, of de zorg voor de mensen om je heen. Uiteindelijk gaat het om de bedoeling. Volg je een regel alleen omdat het een regel is, of omdat je het eens bent met de gedachte die erachter zit?;Welke regels volg jij, en waarom?
41;7;Marcus 7:1-13;Wet en traditie;In Jezus' tijd waren er veel regels over wat rein was en wat onrein. Het boek Leviticus staat er vol mee. De religieuze leiders maakten nog veel meer regels. De leerlingen van Jezus houden zich niet aan de regels, tot woede van de religieuze leiders. Jezus legt uit dat een regel nooit belangrijker mag worden dan God zelf, of de zorg voor de mensen om je heen. Uiteindelijk gaat het om de bedoeling. Volg je een regel alleen omdat het een regel is, of omdat je het eens bent met de gedachte die erachter zit?;Welke regels volg jij, en waarom?
41;7;Marcus 7:14-23;Onreinheid komt van binnenuit;Natuurlijk is het wijs om je handen te wassen. Dat hebben we het afgelopen jaar vaak genoeg gehoord. De regels van Gods wet zijn dan ook niet nutteloos. Maar als je wel aandacht besteed aan uiterlijke zaken, maar je innerlijk verwaarloost, zorgen de regels er niet voor dat je ook van binnen schoon bent. Alleen door met God te leven, wordt je hart gereinigd. God kijkt uiteindelijk niet of je handen schoon zijn, Hij kijkt naar je hart. En dat hart verandert, wanneer je tijd met Hem doorbrengt.;Hoe zit het met jouw hart? Komen er goede dingen uit voort?
41;7;Marcus 7:24-30;Open;Jezus geneest in niet-Joods gebied twee mensen: een meisje dat last heeft van een kwade geest, en een dove man. Jezus wil de niet-Joodse moeder eerst niet helpen. Hij is er voor de kinderen (de Joden) en niet voor de honden (niet-Joden). Het gaat hier niet over zwerfhonden, maar over ‘schoothondjes’, die bij het gezin hoorden. Zulke honden werden wél gewaardeerd. Dus ook al wil Jezus er in de eerste plaats voor de kinderen zijn, Hij helpt ook deze vrouw en haar dochter.;Hoe ga jij om met mensen die op het eerste gezicht anders lijken te zijn dan jijzelf?
41;7;Marcus 7:31-37;;Jezus geneest de dove man op een speciale manier. Hij legt niet de handen op (waar om werd gevraagd), maar geneest op een heel zintuiglijke manier via zuchten, vingers in oren en speeksel op de tong. In deze genezing lijkt de gehele drie-eenheid aan het werk te zijn: de Vader in de hemel, de zucht (adem) van de heilige Geest en Jezus' tastbare aanraking. Hierdoor gingen niet alleen de oren van de man open, maar ook zijn hart. Zijn mond loopt ervan over!;In hoeverre sta jij open voor Gods wonderen en wil jij hierover vertellen aan anderen?
41;8;Marcus 8:1-13;Teken ;Zeven is in de Bijbel een getal dat ‘compleetheid’ betekent. Het geeft aan dat iets af is. Zoals de schepping in zeven dagen (Genesis 1:1-2:4), de sabbat en het zevende jaar, in Leviticus 25. Na zeven keer zeven jaar was er een extra bijzonder jaar: het jubeljaar. In dat jaar hoefden mensen hun schulden niet meer terug te betalen. Jezus geeft hier met zeven broden alle aanwezigen te eten. Zo laat Hij zien dat Hij er voor de hele wereld is.;Heb jij weleens een sabbatical gehad? Wat deed je toen?
41;8;Marcus 8:1-13;Teken;Het getal zeven staat in de Bijbel voor ‘compleetheid’. Het geeft aan dat iets af is. Zoals de schepping in zeven dagen (Genesis 1:1-2:4), de sabbat en het zevende jaar, in Leviticus 25. Na zeven keer zeven jaar was er een extra bijzonder jaar: het jubeljaar. In dat jaar hoefden mensen hun schulden niet meer terug te betalen. Jezus geeft hier met zeven broden alle aanwezigen te eten. Zo laat Hij zien dat Hij er voor de hele wereld is. En alle mensen kunnen eten zoveel ze willen, tot ze verzadigd zijn. Ook op die manier is het verhaal 'compleet'.;Wat betekent 'verzadigd zijn' voor jou?
41;8;Marcus 8:14-21;Twaalf en zeven;De eerste keer dat Jezus brood vermenigvuldigde werden na het eten twaalf manden opgehaald. Het getal twaalf staat symbool voor de twaalf stammen van Israël. Met andere woorden: Jezus is voor heel Israël de Messias, niemand uitgezonderd. Bij het tweede wonder, werden er na het eten zeven manden opgehaald. Ook het getal zeven betekent volheid, zo zagen we gisteren. Jezus is niet alleen voor heel Israël gekomen, maar voor de hele wereld. Voor jou, voor mij, voor iedereen.;Jezus spreekt de leerlingen best scherp toe. Heeft Hij een punt, vind je? Of begrijp je hun moeite om te geloven?
41;8;Marcus 8:14-26;Blind en ziende ;Jezus geneest opnieuw een blinde man. Hij doet wat spuug op de ogen van de man, legt zijn handen op zijn ogen, en vraagt: ‘Zie je iets?’ In de tijd van Jezus was dit een gewone manier om te proberen mensen te genezen. Jezus moet de man echter nog een keer aanraken, en nu kan de man wel goed zien. Je kunt dit verhaal ook als een opdracht lezen. Voor die blinde man, voor de omstanders, en voor ons: Leer te kijken, leer echt met aandacht te zien.;Wie en wat zie jij scherp, en wat wil je liever niet zien?
41;8;Marcus 8:22-26;Blind en ziende;Jezus geneest opnieuw een blinde man. Hij doet wat spuug op de ogen van de man, legt zijn handen op zijn ogen, en vraagt: ‘Zie je iets?’ In de tijd van Jezus was dit een gewone manier om te proberen mensen te genezen. Jezus moet de man echter nog een keer aanraken, en nu kan de man wel goed zien. Je kunt dit verhaal ook als een opdracht lezen. Voor die blinde man, voor de omstanders, en voor ons: ga niet voor de snelle olossing, maar leer te kijken, leer echt met aandacht te zien.;Wie en wat zie jij scherp, en wat wil je liever niet zien?
41;8;Marcus 8:27–9:1;Wie is Jezus?;Jezus vraagt aan zijn leerlingen wie Hij is. En Petrus antwoordt dan: ‘U bent de messias.’ In het Oude Testament kregen priesters en koningen deze titel. Het liet zien dat ze een bijzondere opdracht van God ontvangen hadden. Petrus denkt dat Jezus de messias, de nieuwe koning is. Direct daarna zegt Petrus dat Jezus niet mag zeggen dat Hij zal sterven. Petrus kan zich niet voorstellen dat een messias moet lijden en sterven. Geloof en ongeloof liggen vlak bij elkaar.;Herken je dat geloof en twijfel vlak bij elkaar liggen? Wanneer had jij dat voor het laatst?
41;9;Marcus 9:14-29;Geloofskracht;De woorden van Jezus kunnen hard klinken: ‘Wat zijn jullie ongelovig! Hoe lang moet ik bij jullie blijven? Als je gelooft, kan alles!’ Deze woorden kunnen vragen oproepen. Bijvoorbeeld als je ziek bent en niet beter wordt: is mijn geloof dan niet groot genoeg? Maar als je verder leest in het evangelie volgens Marcus, zie je dat de vader van de zieke zoon zegt: ‘Ik geloof! Help me om mijn ongeloof te overwinnen!’ En Jezus helpt de vader, want Hij geneest zijn zoon. Zo komt Gods nieuwe wereld ineens heel dichtbij.;Welke dingen zou jij vandaag aan God willen overlaten? Zeg ze eens hardop, en kijk wat er dan gebeurt.
41;9;Marcus 9:2-13;Verschijning;Jezus ontmoet Mozes en Elia, op een berg. Mozes vertegenwoordigt de wetten van God, en Elia vertegenwoordigt de profeten. Samen vormen wet en profeten twee belangrijke onderdelen van de heilige boeken van de joden. Petrus wil dit bijzondere moment vastleggen door drie hutten te bouwen. Maar dan klinkt er een stem uit een wolk: ‘Hij alleen is mijn Zoon. Luister naar hem.’ En meteen zien de leerlingen Mozes en Elia niet meer, alleen nog Jezus. We kunnen het moment misschien niet vastleggen, zoals Petrus dat wil, maar vergeten moeten we het zeker niet.;Waar en hoe ontmoet jij God?
41;9;Marcus 9:30-37;Belangrijkheid;Jezus zegt: ‘De ​Mensenzoon​ zal uitgeleverd worden aan mensen die hem zullen doden. Maar drie dagen later zal hij opstaan uit de dood’ (BGT). Maar de leerlingen begrijpen zijn woorden niet. In plaats van echt naar Jezus te luisteren gaan ze ruziemaken. Ze willen weten wie van hen de belangrijkste is. Herkenbaar? Jezus laat met hulp van een kind zien hoe je zijn boodschap moet begrijpen: je moet de onbelangrijkste willen zijn, en andere mensen dienen. Als je zorgt voor mensen die onbelangrijk lijken, die aan de rand van de samenleving staan, dan doe je wat Jezus bedoelt.;Wie kun jij dienen? Probeer vandaag eens iets te doen voor iemand voor wie je normaal geen belangstelling hebt.
